FID,lat,lon
0,40.751991679500001,-73.965390049299998
1,40.751991460399999,-73.964668196000005
2,40.752541053599998,-73.966833482599995
3,40.752540843500000,-73.966111623299994
4,40.752540628799999,-73.965389764099996
5,40.752540409700003,-73.964667904799995
6,40.753089792700003,-73.966111344100000
7,40.753089578100003,-73.965389478899993
8,40.753089359000001,-73.964667613700001
9,40.753089135300002,-73.963945748499995
10,40.753638742000000,-73.966111064800003
11,40.753638527299998,-73.965389193700005
12,40.753638308200003,-73.964667322500006
13,40.753638084499997,-73.963945451399994
14,40.753637856300003,-73.963223580299996
15,40.754187901300000,-73.966832662599998
16,40.754187691200002,-73.966110785500007
17,40.754187476500000,-73.965388908400001
18,40.754187257399998,-73.964667031299996
19,40.754187033699999,-73.963945154300006
20,40.754186805499998,-73.963223277200001
21,40.754186572700000,-73.962501400099995
22,40.754737645600002,-73.969719921500001
23,40.754737453600001,-73.968998038500004
24,40.754737056000003,-73.967554272300006
25,40.754736850400000,-73.966832389299995
26,40.754736640300003,-73.966110506199996
27,40.754736425700003,-73.965388623199999
28,40.754736206499999,-73.964666740200002
29,40.754735982800000,-73.963944857100003
30,40.754735754599999,-73.963222974100006
31,40.754735521900002,-73.962501091099995
32,40.755286965200000,-73.971163450000006
33,40.755286782200002,-73.970441561000001
34,40.755286594700003,-73.969719671999997
35,40.755286402700001,-73.968997783000006
36,40.755286206199997,-73.968275894000001
37,40.755286005099997,-73.967554004999997
38,40.755285799500001,-73.966832116000006
39,40.755285589400003,-73.966110227000001
40,40.755285374800003,-73.965388337999997
41,40.755285155599999,-73.964666449000006
42,40.755284931900000,-73.963944560000002
43,40.755284703699999,-73.963222670999997
44,40.755284471000003,-73.962500782099994
45,40.755284233700003,-73.961778893100004
46,40.755836266700001,-73.972607002299995
47,40.755836092700001,-73.971885107299997
48,40.755835914300000,-73.971163212400000
49,40.755835731300003,-73.970441317400002
50,40.755835543800004,-73.969719422400004
51,40.755835351800002,-73.968997527499994
52,40.755835155200003,-73.968275632499996
53,40.755834954199997,-73.967553737599999
54,40.755834748600002,-73.966831842600001
55,40.755834538400002,-73.966109947700005
56,40.755834323800002,-73.965388052700007
57,40.755834104599998,-73.964666157799996
58,40.755833880899999,-73.963944262900000
59,40.755833652699998,-73.963222367900002
60,40.755833420000002,-73.962500473000006
61,40.755833182700002,-73.961778578099995
62,40.755832941000001,-73.961056683199999
63,40.756385385100003,-73.973328677500007
64,40.756385215700000,-73.972606776600003
65,40.756385041700000,-73.971884875599997
66,40.756384863299999,-73.971162974699993
67,40.756384680300002,-73.970441073800004
68,40.756384492800002,-73.969719172900000
69,40.756384300800001,-73.968997271999996
70,40.756384104200002,-73.968275371100006
71,40.756383903200003,-73.967553470200002
72,40.756383697600000,-73.966831569299998
73,40.756383487500003,-73.966109668399994
74,40.756383272800001,-73.965387767500005
75,40.756383053599997,-73.964665866600001
76,40.756382830000000,-73.963943965699997
77,40.756382601699997,-73.963222064899995
78,40.756382369000001,-73.962500164000005
79,40.756382131700001,-73.961778263100001
80,40.756381889899998,-73.961056362299999
81,40.756381643600001,-73.960334461399995
82,40.756934659300001,-73.974772271500001
83,40.756934498900002,-73.974050364600004
84,40.756934334100002,-73.973328457700006
85,40.756934164699999,-73.972606550799995
86,40.756933990699999,-73.971884643899998
87,40.756933812299998,-73.971162737100002
88,40.756933629300001,-73.970440830200005
89,40.756933441800001,-73.969718923299993
90,40.756933249799999,-73.968997016499998
91,40.756933053200001,-73.968275109600000
92,40.756932852100000,-73.967553202800005
93,40.756932646499997,-73.966831295899993
94,40.756932436400000,-73.966109389099998
95,40.756932221800000,-73.965387482200001
96,40.756932002600003,-73.964665575400005
97,40.756931778899997,-73.963943668599995
98,40.756931550700003,-73.963221761800000
99,40.756931317999999,-73.962499854900003
100,40.756931080699999,-73.961777948100007
101,40.756930838899997,-73.961056041299997
102,40.756930592600000,-73.960334134500002
103,40.757483915400002,-73.976215889200006
104,40.757483764100002,-73.975493976400003
105,40.757483608199998,-73.974772063600000
106,40.757483447900000,-73.974050150699995
107,40.757483282999999,-73.973328237900006
108,40.757483113600003,-73.972606325100003
109,40.757482939699997,-73.971884412199998
110,40.757482761200002,-73.971162499399995
111,40.757482578199998,-73.970440586600006
112,40.757482390699998,-73.969718673800003
113,40.757482198700004,-73.968996761000000
114,40.757482002099998,-73.968274848199997
115,40.757481801099999,-73.967552935399993
116,40.757481595500003,-73.966831022600005
117,40.757481385299997,-73.966109109800001
118,40.757481170699997,-73.965387196999998
119,40.757480951500000,-73.964665284199995
120,40.757480727800001,-73.963943371400006
121,40.757480499600000,-73.963221458700005
122,40.757480266899996,-73.962499545900002
123,40.757480029600003,-73.961777633099999
124,40.757479787800001,-73.961055720399997
125,40.757479541499997,-73.960333807599994
126,40.757479290699997,-73.959611894899993
127,40.758033153299998,-73.977659530799997
128,40.758033011099997,-73.976937612000000
129,40.758032864299999,-73.976215693200004
130,40.758032712999999,-73.975493774399993
131,40.758032557100002,-73.974771855599997
132,40.758032396799997,-73.974049936900002
133,40.758032231900003,-73.973328018100005
134,40.758032062500000,-73.972606099299995
135,40.758031888600001,-73.971884180499998
136,40.758031710099999,-73.971162261800004
137,40.758031527100002,-73.970440343000007
138,40.758031339600002,-73.969718424199996
139,40.758031147600001,-73.968996505500002
140,40.758030951000002,-73.968274586700005
141,40.758030750000003,-73.967552667999996
142,40.758030544400000,-73.966830749200000
143,40.758030334200001,-73.966108830500005
144,40.758030119600001,-73.965386911699994
145,40.758029900399997,-73.964664993000000
146,40.758029676699998,-73.963943074300005
147,40.758029448499997,-73.963221155599996
148,40.758029215699999,-73.962499236799999
149,40.758028978500001,-73.961777318100005
150,40.758028736699998,-73.961055399399996
151,40.758028490400001,-73.960333480700001
152,40.758028239500000,-73.959611562000006
153,40.758582373199999,-73.979103196200001
154,40.758582239900001,-73.978381271499998
155,40.758582102200002,-73.977659346699994
156,40.758581959899999,-73.976937422000006
157,40.758581813100001,-73.976215497200002
158,40.758581661800001,-73.975493572500000
159,40.758581505999999,-73.974771647699995
160,40.758581345600000,-73.974049722999993
161,40.758581180699998,-73.973327798300005
162,40.758581011300002,-73.972605873500001
163,40.758580837399997,-73.971883948799999
164,40.758580658900001,-73.971162024099996
165,40.758580475999999,-73.970440099399994
166,40.758580288499999,-73.969718174700006
167,40.758580096400003,-73.968996250000004
168,40.758579899899999,-73.968274325300001
169,40.758579698799998,-73.967552400599999
170,40.758579493200003,-73.966830475899997
171,40.758579283099998,-73.966108551199994
172,40.758579068400003,-73.965386626500006
173,40.758578849199999,-73.964664701800004
174,40.758578625500000,-73.963942777100002
175,40.758578397299999,-73.963220852399999
176,40.758578164600003,-73.962498927799999
177,40.758577927300003,-73.961777003099996
178,40.758577685500001,-73.961055078499996
179,40.758577439200003,-73.960333153799994
180,40.758577188300002,-73.959611229199993
181,40.759131574800001,-73.980546885400003
182,40.759131450700004,-73.979824954700007
183,40.759131322000002,-73.979103023999997
184,40.759131188799998,-73.978381093300001
185,40.759131050999997,-73.977659162600006
186,40.759130908700001,-73.976937231899996
187,40.759130761999998,-73.976215301200000
188,40.759130610600003,-73.975493370500004
189,40.759130454800001,-73.974771439799994
190,40.759130294400002,-73.974049509099999
191,40.759130129500001,-73.973327578400003
192,40.759129960099997,-73.972605647799995
193,40.759129786199999,-73.971883717099999
194,40.759129607699997,-73.971161786400003
195,40.759129424800001,-73.970439855799995
196,40.759129237300002,-73.969717925099999
197,40.759129045199998,-73.968995994400004
198,40.759128848700001,-73.968274063799996
199,40.759128647600001,-73.967552133100000
200,40.759128441999998,-73.966830202500006
201,40.759128231900000,-73.966108271799996
202,40.759128017199998,-73.965386341200002
203,40.759127798000002,-73.964664410599994
204,40.759127574300003,-73.963942480000000
205,40.759127346100001,-73.963220549300004
206,40.759127113300003,-73.962498618699996
207,40.759126876099998,-73.961776688100002
208,40.759126634300003,-73.961054757499994
209,40.759680523599997,-73.980546725099998
210,40.759680399399997,-73.979824788399995
211,40.759680270700002,-73.979102851799993
